"","Var1","Freq"
"777","Jeffrey (1995)",34
"778","Jerky Boys, The (1994)",6
"779","Jerry Maguire (1996)",768
"780","Jimmy Hollywood (1994)",8
"781","Jingle All the Way (1996)",54
"782","JLG/JLG - autoportrait de décembre (1994)",2
"783","Joe's Apartment (1996)",90
"784","Johnny 100 Pesos (1993)",4
"785","Johnny Mnemonic (1995)",123
"786","Johns (1996)",1
"787","Journey of August King, The (1995)",4
"788","Joy Luck Club, The (1993)",3
"789","Jude (1996)",23
"790","Judge Dredd (1995)",117
"791","Judgment Night (1993)",25
"792","Jumanji (1995)",480
"793","Jungle Book, The (1994)",255
"794","Jungle2Jungle (1997)",264
"795","Junior (1994)",90
"796","Jupiter's Wife (1994)",1
"797","Jurassic Park (1993)",783
"798","Juror, The (1996)",164
"799","Jury Duty (1995)",14
"800","Just Cause (1995)",56
"801","Kalifornia (1993)",118
"802","Kama Sutra: A Tale of Love (1996)",22
"803","Kansas City (1996)",23
"804","Kaspar Hauser (1993)",8
"805","Kazaam (1996)",30
"806","Keys to Tulsa (1997)",25
"807","Kicked in the Head (1997)",14
"808","Kicking and Screaming (1995)",26
"809","Kid in King Arthur's Court, A (1995)",132
"810","Kids (1995)",49
"811","Kids in the Hall: Brain Candy (1996)",65
"812","Kika (1993)",2
"813","Killer (Bulletproof Heart) (1994)",4
"814","Killer: A Journal of Murder (1995)",2
"815","Killing Fields, The (1984)",242
"816","Killing Zoe (1994)",40
"817","Kim (1950)",14
"818","King of New York (1990)",2
"819","King of the Hill (1993)",4
"820","Kingpin (1996)",162
"821","Kiss Me, Guido (1997)",31
"822","Kiss of Death (1995)",60
"823","Kiss the Girls (1997)",429
"824","Kissed (1996)",6
"825","Kolya (1996)",117
"826","Koyaanisqatsi (1983)",106
"827","Kull the Conqueror (1997)",94
"828","Kundun (1997)",42
"829","L.A. Confidential (1997)",1188
"830","Lady of Burlesque (1943)",2
"831","Ladybird Ladybird (1994)",4
"832","Lamerica (1994)",4
"833","Land and Freedom (Tierra y libertad) (1995)",1
"834","Land Before Time III: The Time of the Great Giving (1995) (V)",12
"835","Larger Than Life (1996)",9
"836","Lashou shentan (1992)",3
"837","Lassie (1994)",14
"838","Last Action Hero (1993)",118
"839","Last Dance (1996)",9
"840","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",4
"841","Last Man Standing (1996)",159
"842","Last of the Mohicans, The (1992)",384
"843","Last Summer in the Hamptons (1995)",6
"844","Last Supper, The (1995)",116
"845","Last Time I Committed Suicide, The (1997)",7
"846","Last Time I Saw Paris, The (1954)",3
"847","Late Bloomers (1996)",5
"848","Laura (1944)",120
"849","Lawnmower Man 2: Beyond Cyberspace (1996)",42
"850","Lawnmower Man, The (1992)",195
"851","Lawrence of Arabia (1962)",346
"852","Lay of the Land, The (1997)",8
"853","Leading Man, The (1996)",4
"854","Leave It to Beaver (1997)",44
"855","Leaving Las Vegas (1995)",596
"856","Legal Deceit (1997)",5
"857","Legends of the Fall (1994)",324
"858","Leopard Son, The (1996)",1
"859","Letter From Death Row, A (1998)",6
"860","Liar Liar (1997)",485
"861","Liebelei (1933)",1
"862","Life Less Ordinary, A (1997)",106
"863","Life with Mikey (1993)",7
"864","Lightning Jack (1994)",20
"865","Like Water For Chocolate (Como agua para chocolate) (1992)",296
"866","Line King: Al Hirschfeld, The (1996)",2
"867","Lion King, The (1994)",660
"868","Little Big League (1994)",32
"869","Little Buddha (1993)",22
"870","Little City (1998)",4
"871","Little Lord Fauntleroy (1936)",12
"872","Little Odessa (1994)",10
"873","Little Princess, A (1995)",82
"874","Little Princess, The (1939)",18
"875","Little Rascals, The (1994)",36
"876","Little Women (1994)",102
"877","Live Nude Girls (1995)",23
"878","Living in Oblivion (1995)",27
"879","Loaded (1994)",10
"880","Local Hero (1983)",63
"881","Loch Ness (1995)",8
"882","Locusts, The (1997)",5
"883","Lone Star (1996)",374
"884","Long Kiss Goodnight, The (1996)",370
"885","Looking for Richard (1996)",110
"886","Lord of Illusions (1995)",24
"887","Losing Chase (1996)",8
"888","Losing Isaiah (1995)",12
"889","Lost Highway (1997)",125
"890","Lost Horizon (1937)",34
"891","Lost in Space (1998)",54
"892","Lost World: Jurassic Park, The (1997)",632
"893","Lotto Land (1995)",1
"894","Love & Human Remains (1993)",12
"895","Love Affair (1994)",24
"896","Love and a .45 (1994)",8
"897","Love and Death on Long Island (1997)",2
"898","Love and Other Catastrophes (1996)",7
"899","Love Bug, The (1969)",100
"900","Love in the Afternoon (1957)",20
"901","Love Is All There Is (1996)",2
"902","Love Jones (1997)",42
"903","Love Serenade (1996)",4
"904","Love! Valour! Compassion! (1997)",52
"905","Lover's Knot (1996)",3
"906","Low Down Dirty Shame, A (1994)",20
"907","Low Life, The (1994)",1
"908","M (1931)",132
"909","M. Butterfly (1993)",18
"910","M*A*S*H (1970)",412
"911","Ma vie en rose (My Life in Pink) (1997)",40
"912","Machine, The (1994)",4
"913","Mad City (1997)",94
"914","Mad Dog Time (1996)",1
"915","Mad Love (1995)",26
"916","Madame Butterfly (1995)",7
"917","Made in America (1993)",27
"918","Madness of King George, The (1994)",91
"919","Madonna: Truth or Dare (1991)",17
"920","Magic Hour, The (1998)",5
"921","Magnificent Seven, The (1954)",363
"922","Major Payne (1994)",19
"923","Malice (1993)",46
"924","Mallrats (1995)",54
"925","Maltese Falcon, The (1941)",276
"926","Mamma Roma (1962)",1
"927","Man from Down Under, The (1943)",1
"928","Man in the Iron Mask, The (1998)",36
"929","Man of No Importance, A (1994)",7
"930","Man of the House (1995)",9
"931","Man of the Year (1995)",9
"932","Man Who Knew Too Little, The (1997)",104
"933","Man Who Would Be King, The (1975)",80
"934","Man Without a Face, The (1993)",68
"935","Manchurian Candidate, The (1962)",262
"936","Manhattan (1979)",273
"937","Manhattan Murder Mystery (1993)",54
"938","Manny & Lo (1996)",13
"939","Manon of the Spring (Manon des sources) (1986)",58
"940","Margaret's Museum (1995)",6
"941","Mark of Zorro, The (1940)",13
"942","Marked for Death (1990)",44
"943","Marlene Dietrich: Shadow and Light (1996) ",1
"944","Mars Attacks! (1996)",868
"945","Marvin's Room (1996)",78
"946","Mary Poppins (1964)",534
"947","Mary Reilly (1996)",78
"948","Mary Shelley's Frankenstein (1994)",118
"949","Mask, The (1994)",387
"950","Mat' i syn (1997)",1
"951","MatchMaker, The (1997)",102
"952","Matilda (1996)",190
"953","Maverick (1994)",384
"954","Maximum Risk (1996)",60
"955","Maya Lin: A Strong Clear Vision (1994)",4
"956","Maybe, Maybe Not (Bewegte Mann, Der) (1994)",8
"957","McHale's Navy (1997)",138
"958","Mediterraneo (1991)",68
"959","Meet John Doe (1941)",25
"960","Meet Me in St. Louis (1944)",31
"961","Meet Wally Sparks (1997)",7
"962","Men in Black (1997)",1212
"963","Men of Means (1998)",4
"964","Men With Guns (1997)",4
"965","Menace II Society (1993)",150
"966","Mercury Rising (1998)",21
"967","Metisse (Café au Lait) (1993)",6
"968","Metro (1997)",36
"969","Miami Rhapsody (1995)",15
"970","Michael (1996)",238
"971","Michael Collins (1996)",184
"972","Microcosmos: Le peuple de l'herbe (1996)",24
"973","Midnight Dancers (Sibak) (1994)",10
"974","Midnight in the Garden of Good and Evil (1997)",320
"975","Mighty Aphrodite (1995)",184
"976","Mighty Morphin Power Rangers: The Movie (1995)",22
"977","Mighty, The (1998)",3
"978","Milk Money (1994)",74
"979","Mille bolle blu (1993)",1
"980","Miller's Crossing (1990)",89
"981","Mimic (1997)",202
"982","Mina Tannenbaum (1994)",6
"983","Miracle on 34th Street (1994)",101
"984","Mirage (1995)",2
"985","Mirror Has Two Faces, The (1996)",132
"986","Mission: Impossible (1996)",1032
"987","Misérables, Les (1995)",42
"988","Mixed Nuts (1994)",15
"989","Modern Affair, A (1995)",1
"990","Moll Flanders (1996)",42
"991","Mondo (1996)",3
"992","Money Talks (1997)",154
"993","Money Train (1995)",43
"994","Month by the Lake, A (1995)",18
"995","Monty Python and the Holy Grail (1974)",316
"996","Monty Python's Life of Brian (1979)",174
"997","Moonlight and Valentino (1995)",14
"998","Mortal Kombat (1995)",98
"999","Mortal Kombat: Annihilation (1997)",86
"1000","Mostro, Il (1994)",1
"1001","Mother (1996)",169
"1002","Mother Night (1996)",22
"1003","Mouse Hunt (1997)",88
"1004","Mr. Holland's Opus (1995)",293
"1005","Mr. Jones (1993)",4
"1006","Mr. Magoo (1997)",12
"1007","Mr. Smith Goes to Washington (1939)",105
"1008","Mr. Wonderful (1993)",8
"1009","Mr. Wrong (1996)",23
"1010","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",192
"1011","Mrs. Dalloway (1997)",15
"1012","Mrs. Doubtfire (1993)",192
"1013","Mrs. Parker and the Vicious Circle (1994)",22
"1014","Mrs. Winterbourne (1996)",44
"1015","Much Ado About Nothing (1993)",352
"1016","Mulholland Falls (1996)",246
"1017","Multiplicity (1996)",134
"1018","Muppet Treasure Island (1996)",420
"1019","MURDER and murder (1996)",3
"1020","Murder at 1600 (1997)",436
"1021","Murder in the First (1995)",120
"1022","Murder, My Sweet (1944)",18
"1023","Muriel's Wedding (1994)",200
"1024","Mute Witness (1994)",17
"1025","My Best Friend's Wedding (1997)",344
"1026","My Crazy Life (Mi vida loca) (1993)",11
"1027","My Fair Lady (1964)",250
"1028","My Family (1995)",21
"1029","My Favorite Season (1993)",3
"1030","My Favorite Year (1982)",62
"1031","My Fellow Americans (1996)",86
"1032","My Left Foot (1989)",121
"1033","My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)",2
"1034","My Life as a Dog (Mitt liv som hund) (1985)",93
"1035","My Man Godfrey (1936)",27
"1036","My Own Private Idaho (1991)",30
"1037","Mystery Science Theater 3000: The Movie (1996)",260
"1038","Nadja (1994)",8
"1039","Naked (1993)",25
"1040","Naked Gun 33 1/3: The Final Insult (1994)",69
"1041","Naked in New York (1994)",4
"1042","National Lampoon's Senior Trip (1995)",7
"1043","Natural Born Killers (1994)",256
"1044","Nell (1994)",81
"1045","Nelly & Monsieur Arnaud (1995)",3
"1046","Nemesis 2: Nebula (1995)",3
"1047","Neon Bible, The (1995)",4
"1048","Net, The (1995)",240
"1049","NeverEnding Story III, The (1994)",24
"1050","New Age, The (1994)",1
"1051","New Jersey Drive (1995)",4
"1052","New York Cop (1996)",4
"1053","Newton Boys, The (1998)",8
"1054","Next Karate Kid, The (1994)",18
"1055","Next Step, The (1995)",1
"1056","Niagara, Niagara (1997)",1
"1057","Nick of Time (1995)",88
"1058","Nico Icon (1995)",2
"1059","Night Falls on Manhattan (1997)",64
"1060","Night Flier (1997)",7
"1061","Night of the Living Dead (1968)",128
"1062","Night on Earth (1991)",72
"1063","Nightmare Before Christmas, The (1993)",429
"1064","Nightmare on Elm Street, A (1984)",111
"1065","Nightwatch (1997)",6
"1066","Nikita (La Femme Nikita) (1990)",127
"1067","Nil By Mouth (1997)",4
"1068","Nina Takes a Lover (1994)",12
"1069","Nine Months (1995)",58
"1070","Ninotchka (1939)",52
"1071","Nixon (1995)",90
"1072","No Escape (1994)",10
"1073","Nobody Loves Me (Keiner liebt mich) (1994)",2
"1074","Nobody's Fool (1994)",46
"1075","Normal Life (1996)",2
"1076","North (1994)",7
"1077","North by Northwest (1959)",358
"1078","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",54
"1079","Nosferatu a Venezia (1986)",3
"1080","Nothing Personal (1995)",2
"1081","Nothing to Lose (1994)",7
"1082","Notorious (1946)",156
"1083","Now and Then (1995)",24
"1084","Nowhere (1997)",3
"1085","Nutty Professor, The (1996)",652
"1086","Nénette et Boni (1996)",6
"1087","Object of My Affection, The (1998)",2
"1088","Of Human Bondage (1934)",5
"1089","Of Love and Shadows (1994)",6
"1090","Office Killer (1997)",1
"1091","Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",5
"1092","Old Man and the Sea, The (1958)",64
"1093","Old Yeller (1957)",128
"1094","Oliver & Company (1988)",44
"1095","Omen, The (1976)",85
"1096","On Golden Pond (1981)",106
"1097","Once Upon a Time in America (1984)",150
"1098","Once Upon a Time in the West (1969)",38
"1099","Once Upon a Time... When We Were Colored (1995)",28
"1100","Once Were Warriors (1994)",62
"1101","One Fine Day (1996)",224
"1102","One Flew Over the Cuckoo's Nest (1975)",264
"1103","One Night Stand (1997)",15
"1104","Only You (1994)",78
"1105","Open Season (1996)",2
"1106","Operation Dumbo Drop (1995)",124
"1107","Original Gangstas (1996)",7
"1108","Orlando (1993)",34
"1109","Oscar & Lucinda (1997)",42
"1110","Othello (1995)",72
"1111","Other Voices, Other Rooms (1997)",1
"1112","Out to Sea (1997)",19
"1113","Outbreak (1995)",312
"1114","Outlaw, The (1943)",2
"1115","Pagemaster, The (1994)",60
"1116","Pallbearer, The (1996)",22
"1117","Palmetto (1998)",42
"1118","Palookaville (1996)",26
"1119","Panther (1995)",5
"1120","Paper, The (1994)",80
"1121","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",20
"1122","Paradise Road (1997)",14
"1123","Parent Trap, The (1961)",146
"1124","Paris Is Burning (1990)",27
"1125","Paris Was a Woman (1995)",1
"1126","Paris, France (1993)",3
"1127","Paris, Texas (1984)",46
"1128","Party Girl (1995)",16
"1129","Passion Fish (1992)",28
"1130","Pather Panchali (1955)",8
"1131","Paths of Glory (1957)",66
"1132","Patton (1970)",272
"1133","Peacemaker, The (1997)",408
"1134","Penny Serenade (1941)",16
"1135","People vs. Larry Flynt, The (1996)",215
"1136","Perez Family, The (1995)",28
"1137","Perfect Candidate, A (1996)",4
"1138","Perfect World, A (1993)",100
"1139","Persuasion (1995)",44
"1140","Pest, The (1997)",8
"1141","Pete's Dragon (1977)",172
"1142","Phantom, The (1996)",80
"1143","Phantoms (1998)",13
"1144","Pharaoh's Army (1995)",1
"1145","Phat Beach (1996)",5
"1146","Phenomenon (1996)",488
"1147","Philadelphia (1993)",137
"1148","Philadelphia Story, The (1940)",208
"1149","Piano, The (1993)",336
"1150","Picnic (1955)",18
"1151","Picture Bride (1995)",20
"1152","Picture Perfect (1997)",162
"1153","Pie in the Sky (1995)",8
"1154","Pillow Book, The (1995)",52
"1155","Pink Floyd - The Wall (1982)",342
"1156","Pinocchio (1940)",202
"1157","Platoon (1986)",254
"1158","Playing God (1997)",86
"1159","Pocahontas (1995)",204
"1160","Poetic Justice (1993)",9
"1161","Poison Ivy II (1995)",26
"1162","Police Story 4: Project S (Chao ji ji hua) (1993)",1
"1163","Pollyanna (1960)",81
"1164","Pompatus of Love, The (1996)",14
"1165","Ponette (1996)",10
"1166","Portrait of a Lady, The (1996)",25
"1167","Postino, Il (1994)",366
"1168","Postman, The (1997)",58
"1169","Powder (1995)",48
"1170","Power 98 (1995)",3
"1171","Preacher's Wife, The (1996)",68
"1172","Prefontaine (1997)",3
"1173","Pretty Woman (1990)",328
"1174","Price Above Rubies, A (1998)",3
"1175","Priest (1994)",40
"1176","Primal Fear (1996)",356
"1177","Primary Colors (1998)",13
"1178","Princess Bride, The (1987)",1296
"1179","Princess Caraboo (1994)",15
"1180","Prisoner of the Mountains (Kavkazsky Plennik) (1996)",5
"1181","Private Benjamin (1980)",67
"1182","Private Parts (1997)",200
"1183","Professional, The (1994)",596
"1184","Program, The (1993)",62
"1185","Promesse, La (1996)",6
"1186","Promise, The (Versprechen, Das) (1994)",1
"1187","Prophecy II, The (1998)",20
"1188","Prophecy, The (1995)",32
"1189","Psycho (1960)",717
"1190","Pulp Fiction (1994)",788
"1191","Pump Up the Volume (1990)",79
"1192","Purple Noon (1960)",14
"1193","Pushing Hands (1992)",2
"1194","Pyromaniac's Love Story, A (1995)",14
"1195","Quartier Mozart (1992)",1
"1196","Queen Margot (Reine Margot, La) (1994)",48
"1197","Quest, The (1996)",54
"1198","Quick and the Dead, The (1995)",144
"1199","Quiet Man, The (1952)",134
"1200","Quiet Room, The (1996)",3
"1201","Quiz Show (1994)",175
"1202","Race the Sun (1996)",5
"1203","Radioland Murders (1994)",36
"1204","Raging Bull (1980)",116
"1205","Raiders of the Lost Ark (1981)",840
"1206","Rainmaker, The (1997)",145
"1207","Raise the Red Lantern (1991)",58
"1208","Raising Arizona (1987)",256
"1209","Ran (1985)",140
"1210","Ransom (1996)",534
"1211","Raw Deal (1948)",1
"1212","Ready to Wear (Pret-A-Porter) (1994)",18
"1213","Real Genius (1985)",119
"1214","Reality Bites (1994)",154
"1215","Rear Window (1954)",418
"1216","Rebecca (1940)",132
"1217","Rebel Without a Cause (1955)",90
"1218","Reckless (1995)",8
"1219","Red Corner (1997)",114
"1220","Red Firecracker, Green Firecracker (1994)",13
"1221","Red Rock West (1992)",52
"1222","Ref, The (1994)",58
"1223","Relative Fear (1994)",6
"1224","Relic, The (1997)",25
"1225","Reluctant Debutante, The (1958)",2
"1226","Remains of the Day, The (1993)",150
"1227","Renaissance Man (1994)",129
"1228","Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",6
"1229","Rent-a-Kid (1995)",8
"1230","Replacement Killers, The (1998)",78
"1231","Reservoir Dogs (1992)",296
"1232","Restoration (1995)",71
"1233","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",44
"1234","Return of the Jedi (1983)",2535
"1235","Return of the Pink Panther, The (1974)",92
"1236","Rhyme & Reason (1997)",5
"1237","Rich Man's Wife, The (1996)",15
"1238","Richard III (1995)",178
"1239","Richie Rich (1994)",42
"1240","Ridicule (1996)",44
"1241","Right Stuff, The (1983)",157
"1242","Ripe (1996)",1
"1243","Rising Sun (1993)",129
"1244","River Wild, The (1994)",292
"1245","Road to Wellville, The (1994)",17
"1246","Rob Roy (1995)",276
"1247","Robert A. Heinlein's The Puppet Masters (1994)",36
"1248","Robin Hood: Men in Tights (1993)",56
"1249","Robin Hood: Prince of Thieves (1991)",75
"1250","Robocop 3 (1993)",22
"1251","Rock, The (1996)",1134
"1252","Rocket Man (1997)",49
"1253","Roman Holiday (1953)",136
"1254","Romeo Is Bleeding (1993)",74
"1255","Romper Stomper (1992)",10
"1256","Romy and Michele's High School Reunion (1997)",98
"1257","Room with a View, A (1986)",268
"1258","Roommates (1995)",26
"1259","Roseanna's Grave (For Roseanna) (1997)",10
"1260","Rosencrantz and Guildenstern Are Dead (1990)",180
"1261","Rosewood (1997)",114
"1262","Rough Magic (1995)",4
"1263","Ruby in Paradise (1993)",23
"1264","Rudy (1993)",64
"1265","Ruling Class, The (1972)",16
"1266","Rumble in the Bronx (1995)",522
"1267","Run of the Country, The (1995)",4
"1268","S.F.W. (1994)",2
"1269","Sabrina (1954)",128
"1270","Sabrina (1995)",380
"1271","Safe (1995)",13
"1272","Safe Passage (1994)",2
"1273","Saint of Fort Washington, The (1993)",2
"1274","Saint, The (1997)",948
"1275","Salut cousin! (1996)",4
"1276","Santa Clause, The (1994)",164
"1277","Santa with Muscles (1996)",2
"1278","Savage Nights (Nuits fauves, Les) (1992)",3
"1279","Scarlet Letter, The (1926)",2
"1280","Scarlet Letter, The (1995)",5
"1281","Schindler's List (1993)",596
"1282","Schizopolis (1996)",4
"1283","Scout, The (1994)",12
"1284","Scream (1996)",956
"1285","Scream 2 (1997)",212
"1286","Scream of Stone (Schrei aus Stein) (1991)",1
"1287","Screamers (1995)",46
"1288","Search for One-eye Jimmy, The (1996)",3
"1289","Searching for Bobby Fischer (1993)",138
"1290","Second Jungle Book: Mowgli & Baloo, The (1997)",12
"1291","Secret Adventures of Tom Thumb, The (1993)",10
"1292","Secret Agent, The (1996)",6
"1293","Secret Garden, The (1993)",158
"1294","Secret of Roan Inish, The (1994)",71
"1295","Secrets & Lies (1996)",162
"1296","Selena (1997)",32
"1297","Sense and Sensibility (1995)",536
"1298","Senseless (1998)",7
"1299","Serial Mom (1994)",162
"1300","Set It Off (1996)",38
"1301","Seven (Se7en) (1995)",472
"1302","Seven Years in Tibet (1997)",310
"1303","Seventh Seal, The (Sjunde inseglet, Det) (1957)",72
"1304","Sex, Lies, and Videotape (1989)",101
"1305","Sexual Life of the Belgians, The (1994)",2
"1306","Sgt. Bilko (1996)",74
"1307","Shadow Conspiracy (1997)",44
"1308","Shadow of Angels (Schatten der Engel) (1976)",1
"1309","Shadow, The (1994)",45
"1310","Shadowlands (1993)",156
"1311","Shadows (Cienie) (1988)",1
"1312","Shaggy Dog, The (1959)",60
"1313","Shall We Dance? (1937)",51
"1314","Shall We Dance? (1996)",46
"1315","Shallow Grave (1994)",66
"1316","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",26
"1317","Shawshank Redemption, The (1994)",283
"1318","She's So Lovely (1997)",106
"1319","She's the One (1996)",146
"1320","Shiloh (1997)",24
"1321","Shine (1996)",258
"1322","Shining, The (1980)",206
"1323","Shooter, The (1995)",3
"1324","Shooting Fish (1997)",10
"1325","Shopping (1994)",2
"1326","Short Cuts (1993)",67
"1327","Show, The (1995)",2
"1328","Showgirls (1995)",23
"1329","Silence of the Lambs, The (1991)",780
"1330","Silence of the Palace, The (Saimt el Qusur) (1994)",1
"1331","Simple Twist of Fate, A (1994)",10
"1332","Simple Wish, A (1997)",6
"1333","Singin' in the Rain (1952)",274
"1334","Sirens (1994)",118
"1335","Six Degrees of Separation (1993)",148
"1336","Sixth Man, The (1997)",9
"1337","Sleeper (1973)",164
"1338","Sleepers (1996)",338
"1339","Sleepless in Seattle (1993)",426
"1340","Sleepover (1995)",2
"1341","Sliding Doors (1998)",10
"1342","Sling Blade (1996)",272
"1343","Slingshot, The (1993)",4
"1344","Sliver (1993)",37
"1345","Small Faces (1995)",1
"1346","Smile Like Yours, A (1997)",50
"1347","Smilla's Sense of Snow (1997)",144
"1348","Smoke (1995)",74
"1349","Sneakers (1992)",450
"1350","Snow White and the Seven Dwarfs (1937)",516
"1351","So Dear to My Heart (1949)",8
"1352","So I Married an Axe Murderer (1993)",285
"1353","Solo (1996)",36
"1354","Some Folks Call It a Sling Blade (1993)",82
"1355","Some Kind of Wonderful (1987)",118
"1356","Some Like It Hot (1959)",256
"1357","Some Mother's Son (1996)",2
"1358","Somebody to Love (1994)",2
"1359","Someone Else's America (1995)",1
"1360","Something to Talk About (1995)",78
"1361","Somewhere in Time (1980)",164
"1362","Son in Law (1993)",39
"1363","Sophie's Choice (1982)",58
"1364","Soul Food (1997)",59
"1365","Sound of Music, The (1965)",222
"1366","Space Jam (1996)",465
"1367","Spanish Prisoner, The (1997)",2
"1368","Spanking the Monkey (1994)",54
"1369","Spawn (1997)",572
"1370","Specialist, The (1994)",20
"1371","Species (1995)",45
"1372","Speechless (1994)",72
"1373","Speed (1994)",690
"1374","Speed 2: Cruise Control (1997)",114
"1375","Spellbound (1945)",90
"1376","Sphere (1998)",123
"1377","Spice World (1997)",52
"1378","Spirits of the Dead (Tre passi nel delirio) (1968)",2
"1379","Spitfire Grill, The (1996)",97
"1380","Sprung (1997)",3
"1381","Spy Hard (1996)",43
"1382","Squeeze (1996)",3
"1383","Stag (1997)",18
"1384","Stalingrad (1993)",12
"1385","Stalker (1979)",22
"1386","Stand by Me (1986)",681
"1387","Star Kid (1997)",12
"1388","Star Maker, The (Uomo delle stelle, L') (1995)",12
"1389","Star Maps (1997)",19
"1390","Star Trek III: The Search for Spock (1984)",513
"1391","Star Trek IV: The Voyage Home (1986)",597
"1392","Star Trek V: The Final Frontier (1989)",189
"1393","Star Trek VI: The Undiscovered Country (1991)",483
"1394","Star Trek: First Contact (1996)",1095
"1395","Star Trek: Generations (1994)",348
"1396","Star Trek: The Motion Picture (1979)",351
"1397","Star Trek: The Wrath of Khan (1982)",732
"1398","Star Wars (1977)",2915
"1399","Stargate (1994)",381
"1400","Stars Fell on Henrietta, The (1995)",3
"1401","Starship Troopers (1997)",844
"1402","Steal Big, Steal Little (1995)",7
"1403","Stealing Beauty (1996)",64
"1404","Steel (1997)",19
"1405","Stefano Quantestorie (1993)",2
"1406","Stephen King's The Langoliers (1995)",29
"1407","Sting, The (1973)",482
"1408","Stonewall (1995)",5
"1409","Story of Xinghua, The (1993)",5
"1410","Strange Days (1995)",261
"1411","Stranger in the House (1997)",7
"1412","Stranger, The (1994)",3
"1413","Strawberry and Chocolate (Fresa y chocolate) (1993)",11
"1414","Street Fighter (1994)",8
"1415","Streetcar Named Desire, A (1951)",98
"1416","Strictly Ballroom (1992)",208
"1417","Striking Distance (1993)",12
"1418","Stripes (1981)",5
"1419","Striptease (1996)",134
"1420","Stuart Saves His Family (1995)",16
"1421","Stupids, The (1996)",17
"1422","Substance of Fire, The (1996)",4
"1423","Substitute, The (1996)",49
"1424","SubUrbia (1997)",12
"1425","Sudden Death (1995)",47
"1426","Sudden Manhattan (1996)",2
"1427","Sum of Us, The (1994)",11
"1428","Sunchaser, The (1996)",1
"1429","Sunset Blvd. (1950)",65
"1430","Sunset Park (1996)",8
"1431","Super Mario Bros. (1993)",104
"1432","Supercop (1992)",130
"1433","Surviving Picasso (1996)",19
"1434","Surviving the Game (1994)",33
"1435","Suture (1993)",8
"1436","Swan Princess, The (1994)",14
"1437","Sweet Hereafter, The (1997)",44
"1438","Sweet Nothing (1995)",1
"1439","Swept from the Sea (1997)",7
"1440","Swimming with Sharks (1995)",94
"1441","Swingers (1996)",314
"1442","Swiss Family Robinson (1960)",78
"1443","Switchback (1997)",17
"1444","Switchblade Sisters (1975)",13
"1445","Sword in the Stone, The (1963)",164
"1446","Symphonie pastorale, La (1946)",1
"1447","T-Men (1947)",1
"1448","Tainted (1998)",2
"1449","Tales from the Crypt Presents: Bordello of Blood (1996)",55
"1450","Tales From the Crypt Presents: Demon Knight (1995)",43
"1451","Tales from the Hood (1995)",54
"1452","Talking About Sex (1994)",10
"1453","Tango Lesson, The (1997)",13
"1454","Tank Girl (1995)",164
"1455","Target (1995)",2
"1456","Taxi Driver (1976)",364
"1457","Telling Lies in America (1997)",13
"1458","Temptress Moon (Feng Yue) (1996)",3
"1459","Terminal Velocity (1994)",34
"1460","Terminator 2: Judgment Day (1991)",885
"1461","Terminator, The (1984)",903
"1462","Terror in a Texas Town (1958)",1
"1463","Tetsuo II: Body Hammer (1992)",6
"1464","That Darn Cat! (1965)",57
"1465","That Darn Cat! (1997)",126
"1466","That Old Feeling (1997)",22
"1467","That Thing You Do! (1996)",176
"1468","The Courtyard (1995)",2
"1469","The Deadly Cure (1996)",2
"1470","The Innocent (1994)",8
"1471","Theodore Rex (1995)",5
"1472","They Made Me a Criminal (1939)",2
"1473","Thieves (Voleurs, Les) (1996)",21
"1474","Thin Blue Line, The (1988)",35
"1475","Thin Line Between Love and Hate, A (1996)",12
"1476","Thin Man, The (1934)",60
"1477","Things to Do in Denver when You're Dead (1995)",213
"1478","Thinner (1996)",98
"1479","Third Man, The (1949)",144
"1480","Thirty-Two Short Films About Glenn Gould (1993)",18
"1481","This Is Spinal Tap (1984)",573
"1482","Thousand Acres, A (1997)",37
"1483","Three Caballeros, The (1945)",66
"1484","Three Colors: Blue (1993)",64
"1485","Three Colors: Red (1994)",83
"1486","Three Colors: White (1994)",59
"1487","Three Lives and Only One Death (1996)",1
"1488","Three Musketeers, The (1993)",267
"1489","Three Wishes (1995)",9
"1490","Threesome (1994)",62
"1491","Tie Me Up! Tie Me Down! (1990)",32
"1492","Tie That Binds, The (1995)",7
"1493","Tigrero: A Film That Was Never Made (1994)",2
"1494","Time to Kill, A (1996)",232
"1495","Time Tracers (1995)",6
"1496","Timecop (1994)",62
"1497","Tin Cup (1996)",386
"1498","Tin Drum, The (Blechtrommel, Die) (1979)",40
"1499","Tin Men (1987)",102
"1500","Titanic (1997)",1050
"1501","To Be or Not to Be (1942)",54
"1502","To Catch a Thief (1955)",150
"1503","To Cross the Rubicon (1991)",1
"1504","To Die For (1995)",174
"1505","To Gillian on Her 37th Birthday (1996)",88
"1506","To Have, or Not (1995)",2
