"","movienames","rating","wrating","mrating","wmedian","mmedian","times"
"350","Crimson Tide (1995)",3.62987012987013,3.62595419847328,3.65217391304348,4,4,462
"351","Critical Care (1997)",3.09090909090909,3,3.33333333333333,4.5,2.5,11
"352","Cronos (1992)",3.2,3.22222222222222,3,NA,4,10
"353","Crooklyn (1994)",3.5,3.85714285714286,2.66666666666667,3.5,3,10
"354","Crossfire (1947)",4.25,4.25,NA,NA,4,8
"355","Crossing Guard, The (1995)",3,2.96296296296296,4,4,2.5,28
"356","Crow, The (1994)",3.41791044776119,3.44247787610619,3.28571428571429,4,3,402
"357","Crow: City of Angels, The (1996)",1.94871794871795,2.03225806451613,1.625,2.5,2,78
"358","Crows and Sparrows (1949)",1.5,1.5,NA,NA,2,2
"359","Crucible, The (1996)",3.33766233766234,3.25490196078431,3.5,3,3,77
"360","Crude Oasis, The (1995)",1,1,NA,NA,NA,1
"361","Crumb (1994)",3.79012345679012,3.90769230769231,3.3125,3,4,81
"362","Cry, the Beloved Country (1995)",3.75,3.5625,4.125,4,4,24
"363","Crying Game, The (1992)",3.6218487394958,3.50574712643678,3.9375,4,4,476
"364","Curdled (1996)",2.75,2.71428571428571,3,NA,3,8
"365","Cure, The (1995)",3.33333333333333,4,3,NA,NA,6
"366","Cutthroat Island (1995)",2.44444444444444,2.28571428571429,3,4,2,54
"367","Cyclo (1995)",3,3,NA,NA,NA,2
"368","Cyrano de Bergerac (1990)",3.81818181818182,3.92156862745098,3.46666666666667,4,4,198
"369","Cérémonie, La (1995)",4,4,4,4,4,3
"370","D3: The Mighty Ducks (1996)",2.57894736842105,2.27272727272727,3,3,2,38
"371","Dadetown (1995)",3,NA,3,3,NA,1
"372","Daens (1992)",1,NA,1,NA,NA,1
"373","Damsel in Distress, A (1937)",4,4,NA,NA,4,3
"374","Dances with Wolves (1990)",3.79296875,3.77005347593583,3.85507246376812,4,4,768
"375","Dangerous Beauty (1998)",3.76923076923077,3.7,4,3,3,13
"376","Dangerous Ground (1997)",1.75,1.57142857142857,3,NA,3,8
"377","Dangerous Minds (1995)",3.34042553191489,3.11764705882353,3.92307692307692,3,3.5,47
"378","Daniel Defoe's Robinson Crusoe (1996)",3,3,NA,NA,3,2
"379","Dante's Peak (1997)",2.93333333333333,2.88622754491018,3.04109589041096,3,3,480
"380","Dark City (1998)",3.5,3.72727272727273,3,2,4,48
"381","Dave (1993)",3.65,3.61363636363636,3.75,4,4,360
"382","Davy Crockett, King of the Wild Frontier (1955)",2.90909090909091,3.22222222222222,1.5,NA,3.5,11
"383","Day the Earth Stood Still, The (1951)",3.93814432989691,3.97402597402597,3.8,4,4,194
"384","Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2,2,NA,NA,3,2
"385","Daylight (1996)",2.7719298245614,2.58139534883721,3.35714285714286,3,3,171
"386","Days of Thunder (1990)",2.71698113207547,2.79545454545455,2.33333333333333,2,3,106
"387","Daytrippers, The (1996)",3.66666666666667,3.77777777777778,3.5,3.5,4,15
"388","Dazed and Confused (1993)",3.46875,3.45833333333333,3.5,3.5,3,64
"389","Dead Man (1995)",3.82352941176471,3.73076923076923,4.125,3.5,4,34
"390","Dead Man Walking (1995)",3.89632107023411,3.88425925925926,3.92771084337349,4,4,299
"391","Dead Poets Society (1989)",3.91633466135458,3.91397849462366,3.92307692307692,4,4,251
"392","Dead Presidents (1995)",2.72222222222222,2.92857142857143,2,1,3,54
"393","Dear God (1996)",2.5,2.375,2.75,3,3,12
"394","Death and the Maiden (1994)",3.42857142857143,3.3,3.75,4,3,56
"395","Death in Brunswick (1991)",4,4,NA,NA,4,1
"396","Death in the Garden (Mort en ce jardin, La) (1956)",1,NA,1,NA,NA,1
"397","Deceiver (1997)",2.82758620689655,2.94736842105263,2.6,2.5,3,29
"398","Deconstructing Harry (1997)",3.4,3.46938775510204,3.1875,3,4,130
"399","Deep Rising (1998)",2.42857142857143,2.36363636363636,2.66666666666667,NA,3.5,42
"400","Deer Hunter, The (1978)",3.83333333333333,3.8921568627451,3.5,3.5,4,240
"401","Delicatessen (1991)",3.87692307692308,3.96,3.6,4,3,130
"402","Delta of Venus (1994)",3,5,1,NA,5,2
"403","Demolition Man (1993)",3.15217391304348,3.11111111111111,3.45454545454545,4,3,184
"404","Denise Calls Up (1995)",3,3.4,2,3,4,7
"405","Desert Winds (1995)",4,4,NA,NA,NA,1
"406","Designated Mourner, The (1997)",1.71428571428571,1,1.83333333333333,2.5,1,7
"407","Desperado (1995)",3.45360824742268,3.46428571428571,3.38461538461538,5,3,291
"408","Desperate Measures (1998)",3.33928571428571,3.33333333333333,3.35,3,3,168
"409","Destiny Turns on the Radio (1995)",3,NA,3,NA,NA,2
"410","Devil in a Blue Dress (1995)",3.3859649122807,3.48888888888889,3,4,4,228
"411","Devil's Advocate, The (1997)",3.51595744680851,3.51111111111111,3.52830188679245,3,4,752
"412","Devil's Own, The (1997)",3.10833333333333,3.0887573964497,3.15492957746479,3,3,960
"413","Diabolique (1996)",2.88732394366197,2.875,2.91304347826087,3,3,142
"414","Dial M for Murder (1954)",4,4.09433962264151,3.66666666666667,4,4,136
"415","Die Hard (1988)",3.87242798353909,3.90816326530612,3.72340425531915,4.5,4,486
"416","Die Hard 2 (1990)",3.35542168674699,3.36428571428571,3.30769230769231,4,3,332
"417","Die Hard: With a Vengeance (1995)",3.28476821192053,3.312,3.15384615384615,4,3,302
"418","Die xue shuang xiong (Killer, The) (1989)",3.96774193548387,4.06896551724138,2.5,NA,4,62
"419","Dingo (1992)",2.4,2.33333333333333,2.5,4,3,5
"420","Dirty Dancing (1987)",3.10204081632653,2.7741935483871,3.66666666666667,4,3,196
"421","Disclosure (1994)",3,3.09677419354839,2.66666666666667,3.5,3,80
"422","Diva (1981)",3.72727272727273,3.86274509803922,3.26666666666667,3,4,330
"423","Dolores Claiborne (1994)",3.34177215189873,3.28571428571429,3.47826086956522,4,3.5,158
"424","Don Juan DeMarco (1995)",3.55263157894737,3.68181818181818,3.375,3,4,228
"425","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",2.77142857142857,2.75757575757576,3,1,1.5,35
"426","Donnie Brasco (1997)",3.80272108843537,3.85585585585586,3.63888888888889,4,4,294
"427","Doom Generation, The (1995)",2.71428571428571,2.66666666666667,3,NA,2,14
"428","Doors, The (1991)",2.97826086956522,2.93939393939394,3.07692307692308,3.5,2,92
"429","Double Happiness (1994)",3.42857142857143,4,2.66666666666667,3.5,4,7
"430","Double Team (1997)",2.23076923076923,2.09090909090909,3,NA,2,13
"431","Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.68181818181818,3.94117647058824,2.8,4,4,22
"432","Down by Law (1986)",3.77142857142857,3.81481481481481,3.625,5,4,70
"433","Down Periscope (1996)",2.7029702970297,2.67088607594937,2.81818181818182,3,3,101
"434","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.25257731958763,4.24705882352941,4.29166666666667,4.5,4,388
"435","Dracula: Dead and Loving It (1995)",2.28,2.40909090909091,1.33333333333333,2,2,50
"436","Dragonheart (1996)",3.08227848101266,3.12295081967213,2.94444444444444,3,3,474
"437","Dream Man (1995)",1.5,NA,1.5,2,NA,2
"438","Dream With the Fishes (1997)",3.14285714285714,3.6,2,2,4,7
"439","Drop Dead Fred (1991)",2.75,2.18181818181818,3.23076923076923,3,NA,48
"440","Drop Zone (1994)",2.54838709677419,2.53846153846154,2.6,3.5,2,31
"441","Drunks (1995)",2.8,3,2,2,4,5
"442","Duck Soup (1933)",4,4.06329113924051,3.64285714285714,4,4,186
"443","Dumb & Dumber (1994)",3,2.93220338983051,3.4,4,2,69
"444","Dumbo (1941)",3.49593495934959,3.43956043956044,3.65625,4,3.5,369
"445","Dunston Checks In (1996)",1.85714285714286,2,1,NA,1,7
"446","Duoluo tianshi (1995)",3.16666666666667,3.6,1,NA,2,6
"447","E.T. the Extra-Terrestrial (1982)",3.83333333333333,3.83098591549296,3.83908045977011,4,4,1200
"448","East of Eden (1955)",3.86440677966102,3.8695652173913,3.84615384615385,4,4,59
"449","Eat Drink Man Woman (1994)",4.05,4.01851851851852,4.11538461538461,4,4,160
"450","Ed (1996)",1.33333333333333,1.25,1.5,NA,2,6
"451","Ed Wood (1994)",3.6015037593985,3.58,3.66666666666667,4,4,266
"452","Ed's Next Move (1996)",2.66666666666667,2.5,3,3,NA,3
"453","Eddie (1996)",2.7,2.52173913043478,2.94117647058824,3,3,40
"454","Edge, The (1997)",3.53982300884956,3.6547619047619,3.20689655172414,3,4,226
"455","Eighth Day, The (1996)",3,NA,3,3,NA,1
"456","Emma (1996)",3.71751412429379,3.62037037037037,3.8695652173913,4,4,354
"457","Empire Strikes Back, The (1980)",4.20435967302452,4.27898550724638,3.97802197802198,4,4,2202
"458","Enchanted April (1991)",3.92857142857143,4.11428571428571,3.74285714285714,4,4,70
"459","Endless Summer 2, The (1994)",2.5,2.875,1,1,3,10
"460","Enfer, L' (1994)",3,4,2,3,4,4
"461","English Patient, The (1996)",3.65696465696466,3.58662613981763,3.80921052631579,4,4,1443
"462","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,3.64,2.42857142857143,2,3,64
"463","Entertaining Angels: The Dorothy Day Story (1996)",5,5,NA,NA,5,1
"464","Eraser (1996)",3.1504854368932,3.12345679012346,3.25,3,3,412
"465","Escape from L.A. (1996)",2.46153846153846,2.41975308641975,2.8,2,2,364
"466","Escape from New York (1981)",3.24175824175824,3.3,2.81818181818182,2.5,3,364
"467","Escape to Witch Mountain (1975)",2.96666666666667,2.95238095238095,3,3,3,90
"468","Etz Hadomim Tafus (Under the Domin Tree) (1994)",2,NA,2,2,NA,1
"469","Eve's Bayou (1997)",3.609375,3.56,3.78571428571429,4,4,64
"470","Even Cowgirls Get the Blues (1993)",2,2.25,1,NA,2,10
"471","Evening Star, The (1996)",2.93103448275862,2.46153846153846,3.3125,4,3,58
"472","Event Horizon (1997)",2.5748031496063,2.61386138613861,2.42307692307692,1.5,2,508
"473","Everest (1998)",4.5,4,5,NA,NA,2
"474","Every Other Weekend (1990)",1,1,NA,NA,NA,1
"475","Everyone Says I Love You (1996)",3.27380952380952,3.27927927927928,3.26315789473684,3,3,504
"476","Evil Dead II (1987)",3.51685393258427,3.55696202531646,3.2,5,3,356
"477","Evita (1996)",2.98069498069498,2.94318181818182,3.06024096385542,3,3,518
"478","Excess Baggage (1997)",2.53846153846154,2.45454545454545,2.68421052631579,3.5,2,104
"479","Executive Decision (1996)",3.35668789808917,3.304,3.5625,4,3,314
"480","Exit to Eden (1994)",2.75,2.57142857142857,2.88888888888889,3,3.5,16
"481","Exotica (1994)",3.55555555555556,3.58333333333333,3.33333333333333,4.5,3,27
"482","Extreme Measures (1996)",3.171875,3.14285714285714,3.26666666666667,3.5,3,128
"483","Eye for an Eye (1996)",3.03125,2.94736842105263,3.15384615384615,2.5,4,64
"484","Eye of Vichy, The (Oeil de Vichy, L') (1993)",1,NA,1,NA,NA,1
"485","Face/Off (1997)",3.7680412371134,3.75172413793103,3.81632653061224,4,3,582
"486","Faces (1968)",3,3,NA,NA,3,4
"487","Fair Game (1995)",2.18181818181818,2.22222222222222,2,NA,2,11
"488","FairyTale: A True Story (1997)",2.96666666666667,2.88235294117647,3.07692307692308,4,4,90
"489","Faithful (1996)",3.3,3.6,3,2.5,5,10
"490","Fall (1997)",2,1,2.5,NA,NA,3
"491","Fallen (1998)",3.14634146341463,3.16666666666667,3.09090909090909,4,3,123
"492","Falling in Love Again (1980)",1,1,NA,NA,NA,2
"493","Family Thing, A (1996)",3.55555555555556,3.58620689655172,3.5,3,4,90
"494","Fan, The (1996)",3.09375,2.86363636363636,3.6,3,3,64
"495","Fantasia (1940)",3.77011494252874,3.68292682926829,3.98039215686275,4.5,4,522
"496","Far From Home: The Adventures of Yellow Dog (1995)",3.28571428571429,3.75,2.66666666666667,4,4,14
"497","Farewell My Concubine (1993)",3.97826086956522,3.96875,4,4,4,92
"498","Farewell to Arms, A (1932)",3.83333333333333,3.88888888888889,3.66666666666667,4,4,24
"499","Fargo (1996)",4.15551181102362,4.20104438642298,4.016,5,4,1524
"500","Farinelli: il castrato (1994)",3.11764705882353,3.14285714285714,3,5,4,34
"501","Farmer & Chase (1995)",4,4,NA,NA,4,1
"502","Fast, Cheap & Out of Control (1997)",3.4375,3.41666666666667,3.5,3.5,3,32
"503","Faster Pussycat! Kill! Kill! (1965)",3,2.66666666666667,5,NA,3,21
"504","Fatal Instinct (1993)",2.63157894736842,2.58333333333333,2.71428571428571,4,3,19
"505","Father of the Bride (1950)",3.58333333333333,3.54545454545455,3.6875,4,3,60
"506","Father of the Bride Part II (1995)",2.8984375,2.76190476190476,3.15909090909091,3,3,128
"507","Fathers' Day (1997)",2.58064516129032,2.35294117647059,2.85714285714286,2.5,3,31
"508","Faust (1994)",4.2,4.2,NA,NA,5,5
"509","Fausto (1993)",3,4,2.5,2.5,4,3
"510","Favor, The (1994)",2,2,NA,NA,NA,2
"511","Fear (1996)",3.15909090909091,3.12903225806452,3.23076923076923,3,3.5,44
"512","Fear of a Black Hat (1993)",3.2,3,4,5,3,10
"513","Fear, The (1995)",3,NA,3,NA,NA,1
"514","Fearless (1993)",3.24,3.21052631578947,3.33333333333333,4,3.5,25
"515","Feast of July (1995)",2.4,2.66666666666667,2,3,3,5
"516","Feeling Minnesota (1996)",2.625,2.57692307692308,2.83333333333333,2.5,3,64
"517","Female Perversions (1996)",2.625,2.66666666666667,2.6,3,2.5,8
"518","Field of Dreams (1989)",3.69811320754717,3.65131578947368,3.81666666666667,4,4,212
"519","Fierce Creatures (1997)",3.11458333333333,3.16216216216216,2.95454545454545,3,3,96
"520","Fifth Element, The (1997)",3.47715736040609,3.57232704402516,3.07894736842105,3,3,394
"521","Fille seule, La (A Single Girl) (1995)",4,4.33333333333333,3,3,4.5,4
"522","Fire Down Below (1997)",2.93181818181818,2.94285714285714,2.88888888888889,2,3,132
"523","Fire on the Mountain (1996)",3,3,NA,NA,3,1
"524","Firestorm (1998)",2.83333333333333,2.76923076923077,3,3,2,54
"525","Firm, The (1993)",3.27814569536424,3.27826086956522,3.27777777777778,4,3,302
"526","First Kid (1996)",2.925,2.74074074074074,3.30769230769231,3,3,80
"527","First Knight (1995)",3.02325581395349,2.74603174603175,3.78260869565217,4,3,344
"528","First Wives Club, The (1996)",3.01875,2.74257425742574,3.49152542372881,3,3,160
"529","Fish Called Wanda, A (1988)",3.78542510121457,3.78571428571429,3.78461538461538,4,4,247
"530","Fled (1996)",2.64705882352941,2.6,2.77777777777778,3,3,68
"531","Flesh and Bone (1993)",2.83333333333333,2.5,3,3,2.5,18
"532","Flintstones, The (1994)",2.06451612903226,1.89473684210526,2.33333333333333,2,1,62
"533","Flipper (1996)",2.45,2.16666666666667,2.875,2.5,2,40
"534","Flirt (1995)",3.6,3.75,3,NA,3.5,5
"535","Flirting With Disaster (1996)",3.69047619047619,3.79411764705882,3.25,3.5,4,42
"536","Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.16666666666667,3,3.5,3.5,4,6
"537","Flubber (1997)",2.75471698113208,2.83783783783784,2.5625,2.5,3,159
"538","Fluke (1995)",2.42857142857143,2.6,2,2.5,3,28
"539","Fly Away Home (1996)",3.56969696969697,3.5377358490566,3.6271186440678,4,4,330
"540","Fog, The (1980)",2.73913043478261,2.55,4,NA,2,23
"541","Fools Rush In (1997)",3,2.92307692307692,3.09090909090909,3,3,48
"542","For Ever Mozart (1996)",2,1,2.5,NA,NA,3
"543","For Love or Money (1993)",2.83333333333333,2.88888888888889,2.66666666666667,3.5,NA,12
"544","For Richer or Poorer (1997)",2.42857142857143,2.125,2.83333333333333,3,2.5,14
"545","For the Moment (1994)",2.66666666666667,3,2,NA,5,6
"546","For Whom the Bell Tolls (1943)",4,4.05555555555556,3.5,3.5,4,40
"547","Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,2.75,NA,NA,3,4
"548","Forbidden Planet (1956)",3.83582089552239,3.91071428571429,3.45454545454545,4,4,67
"549","Foreign Correspondent (1940)",3.86666666666667,3.78571428571429,5,5,4,15
"550","Foreign Student (1994)",2,2,2,2,2,2
"551","Forget Paris (1995)",3.19354838709677,3.10526315789474,3.33333333333333,3,3,124
"552","Forrest Gump (1994)",3.85358255451713,3.8801652892562,3.77215189873418,4,4,963
"553","Four Days in September (1997)",3.75,4,3.4,4,4,12
"554","Four Rooms (1995)",3.03333333333333,3.10810810810811,2.6875,3.5,2,90
"555","Four Weddings and a Funeral (1994)",3.66135458167331,3.67021276595745,3.63492063492063,4,4,502
"556","Fox and the Hound, The (1981)",3.14754098360656,3.075,3.28571428571429,2.5,3,122
"557","Foxfire (1996)",2.93333333333333,2.81818181818182,3.25,4,3,15
"558","Frankie Starlight (1995)",2.5,2,2.66666666666667,3,NA,8
"559","Free Willy (1993)",2.45454545454545,2.18181818181818,3,2.5,3,99
"560","Free Willy 2: The Adventure Home (1995)",2.18181818181818,1.66666666666667,2.8,2,1.5,33
"561","Free Willy 3: The Rescue (1997)",1.74074074074074,1.57142857142857,2.33333333333333,2,1.5,81
"562","Freeway (1996)",3.35714285714286,3.39393939393939,3.22222222222222,4,4,42
"563","French Kiss (1995)",3.33333333333333,3.17307692307692,3.59375,3.5,3,168
"564","French Twist (Gazon maudit) (1995)",3.20512820512821,3.19354838709677,3.25,4,3,78
"565","Fresh (1994)",4.1,4.25,3.5,3,4,10
"566","Friday (1995)",3.46153846153846,3.375,4.5,NA,2,26
"567","Fried Green Tomatoes (1991)",3.76470588235294,3.66315789473684,3.93103448275862,4,4,153
"568","Frighteners, The (1996)",3.23478260869565,3.31395348837209,3,3,3,230
"569","Frisk (1995)",2.66666666666667,2.66666666666667,NA,NA,1,3
"570","From Dusk Till Dawn (1996)",3.1195652173913,3.16455696202532,2.84615384615385,2,3,460
"571","Fugitive, The (1993)",4.04464285714286,4.01136363636364,4.16666666666667,4,4,672
"572","Full Metal Jacket (1987)",3.68235294117647,3.76190476190476,3.17391304347826,3,4,510
"573","Full Monty, The (1997)",3.92698412698413,3.88479262672811,4.02040816326531,4,4,315
"574","Full Speed (1996)",3.125,3.33333333333333,2.5,2,2.5,8
"575","Funeral, The (1996)",2.42857142857143,2.55555555555556,1.66666666666667,1,3,21
"576","Funny Face (1957)",3.66666666666667,3.57142857142857,3.85714285714286,4,4,42
"577","Further Gesture, A (1996)",1,NA,1,NA,NA,1
"578","G.I. Jane (1997)",3.36,3.2755905511811,3.58333333333333,4,3,525
"579","Gabbeh (1996)",3.33333333333333,3,3.66666666666667,4,4,6
"580","Game, The (1997)",3.59362549800797,3.62962962962963,3.48387096774194,3.5,4,502
"581","Gandhi (1982)",4.02051282051282,4.00662251655629,4.06818181818182,4,4,195
"582","Gang Related (1997)",2.6875,2.84615384615385,2,3,3,16
"583","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3.91666666666667,4.25,3.25,3,4.5,24
"584","Gaslight (1944)",3.88571428571429,3.80769230769231,4.11111111111111,4,4,70
"585","Gate of Heavenly Peace, The (1995)",4,4,NA,NA,NA,1
"586","Gattaca (1997)",3.59558823529412,3.64150943396226,3.43333333333333,3,3,408
"587","Gay Divorcee, The (1934)",3.86666666666667,3.72727272727273,4.25,4.5,3.5,45
"588","George of the Jungle (1997)",2.68518518518519,2.66964285714286,2.72,3,2,324
"589","Georgia (1995)",2.9,2.8125,3,3,4,30
"590","Germinal (1993)",3,3.66666666666667,1,NA,4,4
"591","Geronimo: An American Legend (1993)",3.11111111111111,3.33333333333333,2.66666666666667,4,4,18
"592","Get on the Bus (1996)",3.31578947368421,3.35294117647059,3,3,3,38
"593","Get Shorty (1995)",3.55023923444976,3.59146341463415,3.4,4,4,627
"594","Getaway, The (1994)",2.33333333333333,2.25,3,3,3,18
"595","Getting Away With Murder (1996)",1,1,NA,NA,NA,1
"596","Getting Even with Dad (1994)",1.6,1,2,3,NA,5
"597","Ghost (1990)",3.46470588235294,3.28181818181818,3.8,4,4,510
"598","Ghost and Mrs. Muir, The (1947)",3.65116279069767,3.5625,3.90909090909091,4,3,86
"599","Ghost and the Darkness, The (1996)",3.203125,3.1304347826087,3.38888888888889,4,3,256
"600","Ghost in the Shell (Kokaku kidotai) (1995)",3.65384615384615,3.72727272727273,3.25,NA,3,52
"601","Ghosts of Mississippi (1996)",3.48275862068966,3.23529411764706,3.83333333333333,4,3,29
"602","Giant (1956)",3.74509803921569,3.77777777777778,3.66666666666667,4,4,51
"603","Gigi (1958)",3.65853658536585,3.48275862068966,4.08333333333333,4,4,41
"604","Gilligan's Island: The Movie (1998)",1.33333333333333,1.33333333333333,NA,NA,1,3
"605","Girl 6 (1996)",2.76,2.71428571428571,3,3,3,25
"606","Girl in the Cadillac (1995)",1,1,NA,NA,1,1
"607","Girls Town (1996)",3,NA,3,3,NA,1
"608","Glass Shield, The (1994)",2,3,1,NA,NA,2
"609","Glengarry Glen Ross (1992)",3.46376811594203,3.53571428571429,3.15384615384615,3.5,3.5,69
"610","Glimmer Man, The (1996)",2.75,2.64285714285714,3.5,3,3,96
"611","Glory (1989)",4.07602339181287,4.05882352941176,4.14285714285714,4.5,4,513
"612","Go Fish (1994)",3.2,3.2,3.2,3.5,3,30
"613","Godfather, The (1972)",4.28329297820823,4.33441558441558,4.13333333333333,4,5,1239
"614","Godfather: Part II, The (1974)",4.1866028708134,4.24852071005917,3.925,4,4,627
"615","Gold Diggers: The Secret of Bear Mountain (1995)",3.1,2.5,3.25,4,2,20
"616","Golden Earrings (1947)",4,4,NA,NA,4,4
"617","GoldenEye (1995)",3.20610687022901,3.17857142857143,3.36842105263158,4,3,393
"618","Gone Fishin' (1997)",1.81818181818182,2,1.6,1.5,2,11
"619","Gone with the Wind (1939)",3.87134502923977,3.74358974358974,4.14814814814815,5,4,513
"620","Good Man in Africa, A (1994)",3,3,NA,NA,3,4
"621","Good Will Hunting (1997)",4.26262626262626,4.22302158273381,4.35593220338983,4,4,198
"622","Good, The Bad and The Ugly, The (1966)",3.86131386861314,3.9504132231405,3.1875,4,4,274
"623","GoodFellas (1990)",3.95132743362832,3.98936170212766,3.76315789473684,4,4,452
"624","Goofy Movie, A (1995)",2.9,3,2.6,3,2,80
"625","Gordy (1995)",1,1,1,NA,1,3
"626","Grace of My Heart (1996)",3.25,3.16666666666667,3.5,2,4,16
"627","Graduate, The (1967)",4.10460251046025,4.05142857142857,4.25,5,4,478
"628","Grand Day Out, A (1992)",4.10606060606061,4.06,4.25,5,4,132
"629","Grass Harp, The (1995)",3.22222222222222,3,3.66666666666667,3,3,9
"630","Grateful Dead (1995)",3.5,3.5,3.5,3.5,3.5,4
"631","Grease (1978)",3.34705882352941,3.14159292035398,3.75438596491228,3,3,510
"632","Grease 2 (1982)",2,1.46153846153846,2.63636363636364,2,1,72
"633","Great Day in Harlem, A (1994)",5,5,NA,NA,5,1
"634","Great Dictator, The (1940)",4.02173913043478,4.09756097560976,3.4,4,4,46
"635","Great Escape, The (1963)",4.10483870967742,4.13861386138614,3.95652173913043,4,4,248
"636","Great Expectations (1998)",3.22222222222222,3.05263157894737,3.625,5,3,54
"637","Great Race, The (1965)",3.29032258064516,3.30434782608696,3.25,3,3,62
"638","Great White Hype, The (1996)",2.75510204081633,2.78260869565217,2.33333333333333,3,3,49
"639","Gridlock'd (1997)",3.21052631578947,3.125,3.66666666666667,3.5,4,19
"640","Grifters, The (1990)",3.48314606741573,3.54794520547945,3.1875,3,4,267
"641","Grosse Fatigue (1994)",3.25,4.5,2,3,4.5,4
"642","Grosse Pointe Blank (1997)",3.675,3.69827586206897,3.61363636363636,3.5,4,320
"643","Groundhog Day (1993)",3.76428571428571,3.81220657276995,3.61194029850746,4,4,560
"644","Grumpier Old Men (1995)",3.04054054054054,2.9,3.44736842105263,3,3,296
"645","Guantanamera (1994)",3.75,4,3.66666666666667,3,NA,4
"646","Guilty as Sin (1993)",2.16666666666667,2,2.5,2.5,2,18
"647","Gumby: The Movie (1995)",2.6,2.75,2,NA,2,10
"648","Hackers (1995)",2.60606060606061,2.57692307692308,2.71428571428571,3,3,99
"649","Half Baked (1998)",2.5,2.84615384615385,1.85714285714286,1,1,20
"650","Halloween: The Curse of Michael Myers (1995)",2.2,2.16666666666667,2.28571428571429,2.5,1,50
"651","Hamlet (1996)",4.01111111111111,4,4.03571428571429,4,4,90
"652","Hana-bi (1997)",3,NA,3,3,NA,3
"653","Happy Gilmore (1996)",3.38926174496644,3.38532110091743,3.4,3,3,149
"654","Hard Eight (1996)",4,4.23076923076923,2.5,3,4,30
"655","Hard Rain (1998)",2.90322580645161,2.82608695652174,3.125,4,3,62
"656","Hard Target (1993)",2.7,2.73684210526316,2,3,3,160
"657","Harlem (1993)",2.75,2.75,NA,NA,1.5,4
"658","Harold and Maude (1971)",3.81818181818182,3.8,3.87096774193548,4,4,121
"659","Harriet the Spy (1996)",2.7,2.7037037037037,2.69230769230769,2.5,3,80
"660","Hate (Haine, La) (1995)",3.5,3.52941176470588,3,3,4,18
"661","Haunted World of Edward D. Wood Jr., The (1995)",3.73333333333333,3.83333333333333,3.33333333333333,2.5,4,15
"662","He Walked by Night (1948)",4,4,NA,NA,NA,3
"663","Head Above Water (1996)",3,3.33333333333333,2,NA,4,8
"664","Hear My Song (1991)",3.25,3.66666666666667,2,3,4,8
"665","Hearts and Minds (1996)",3.8,3.75,4,NA,4,5
"666","Heat (1995)",3.5695067264574,3.6,3.42105263157895,3,3,669
"667","Heathers (1989)",3.69005847953216,3.63358778625954,3.875,3.5,3,171
"668","Heaven & Earth (1993)",2.55555555555556,2.42857142857143,3,3,3,27
"669","Heaven's Prisoners (1996)",2.51851851851852,2.375,3.66666666666667,3,3,54
"670","Heavenly Creatures (1994)",3.67142857142857,3.67307692307692,3.66666666666667,4,4,210
"671","Heavy (1995)",2.4,2,3,3,2,10
"672","Heavy Metal (1981)",3.26027397260274,3.26229508196721,3.25,5,3,365
"673","Heavyweights (1994)",2.15384615384615,1.85714285714286,2.5,2,2,26
"674","Hedd Wyn (1992)",1,1,NA,NA,NA,1
"675","Heidi Fleiss: Hollywood Madam (1995) ",2.69230769230769,2.33333333333333,3.5,3,2.5,13
"676","Hellraiser: Bloodline (1996)",2,2.2,1,NA,2,54
"677","Henry V (1989)",4.13709677419355,4.08988764044944,4.25714285714286,4,4,248
"678","Herbie Rides Again (1974)",2.27272727272727,2.2,2.33333333333333,2,2,33
"679","Hercules (1997)",3.51515151515152,3.44444444444444,3.66666666666667,3.5,3,330
"680","Here Comes Cookie (1935)",2,2,NA,NA,2,1
"681","Hideaway (1995)",2.44444444444444,2,3,3,NA,9
"682","High Noon (1952)",4.10227272727273,4.22058823529412,3.7,4,4,88
"683","High School High (1996)",2.62068965517241,2.38095238095238,3.25,NA,2,29
"684","Higher Learning (1995)",3.33333333333333,3.04347826086957,4.28571428571429,5,3,30
"685","Highlander (1986)",3.5359477124183,3.58730158730159,3.2962962962963,3.5,3,306
"686","Highlander III: The Sorcerer (1994)",2.125,2.13333333333333,2,NA,3,32
"687","His Girl Friday (1940)",4,4,4,4,4,56
"688","Hollow Reed (1996)",2.33333333333333,1.5,2.75,3,2,6
"689","Homage (1995)",1,1,NA,NA,NA,1
"690","Home Alone (1990)",3.08759124087591,3.13461538461538,2.93939393939394,3,3,274
"691","Home Alone 3 (1997)",1.89473684210526,1.84615384615385,2,1.5,1,38
"692","Home for the Holidays (1995)",3.1551724137931,2.85714285714286,3.43333333333333,3,3,116
"693","Homeward Bound II: Lost in San Francisco (1996)",2.78125,2.55,3.16666666666667,3,2,64
"694","Homeward Bound: The Incredible Journey (1993)",3.21311475409836,3.05714285714286,3.42307692307692,3,3,122
